순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
11856,어선,29.00 ,20.64 ,4.88 ,1.91 ,FRP,근해유자망어업,어선(근해자망어업),충청남도 보령시
11857,어선,7.31 ,12.57 ,3.29 ,0.93 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 돌산읍
11858,어선,4.89 ,10.42 ,2.91 ,0.89 ,FRP,연안통발어업,어선(연안통발어업),경남 통영시 사량면
11859,어선,1.59 ,6.84 ,2.00 ,0.85 ,FRP,연안자망어업,어선(연안자망어업),경남 하동군 금남면
11860,어선,111.00 ,38.12 ,7.05 ,2.65 ,강,기선선인망어업,어선(기선권현망어업),전남 여수시
11861,어선,1.11 ,6.18 ,1.90 ,0.82 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 완도읍
11862,어선,9.77 ,13.76 ,3.72 ,1.14 ,FRP,연안자망어업,어선(연안자망어업),전남 신안군 흑산면
11863,어선,4.99 ,10.30 ,3.78 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),경북 울릉군 울릉읍
11864,어선,2.26 ,7.71 ,2.40 ,0.76 ,FRP,연안복합어업,어선(연안복합어업),경북 울진군 후포면
11865,어선,0.89 ,5.72 ,1.90 ,0.72 ,FRP,어장관리선,어선(어장관리선),전남 완도군 군외면
11866,어선,14.00 ,16.39 ,4.05 ,1.27 ,FRP,근해형망어업,어선(근해형망어업),충남 태안군 근흥면
11867,어선,1.17 ,6.12 ,1.94 ,0.86 ,FRP,연안통발어업,어선(연안통발어업),전남 해남군 화원면
11868,어선,1.94 ,6.96 ,2.11 ,0.86 ,FRP,연안복합어업,어선(연안복합어업),전남 영광군 홍농읍
11869,어선,2.11 ,7.40 ,2.26 ,0.72 ,FRP,연안자망어업,어선(연안자망어업),강원 고성군 현내면
11870,어선,2.11 ,7.40 ,2.26 ,0.72 ,FRP,연안자망어업,어선(연안자망어업),강원 고성군 현내면
11871,어선,9.77 ,14.07 ,3.39 ,1.23 ,FRP,연안자망어업,어선(연안자망어업),강원 삼척시 원덕읍
11872,어선,9.77 ,12.50 ,3.84 ,1.21 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 창선면
11873,어선,3.47 ,9.30 ,2.72 ,0.84 ,FRP,연안복합어업,어선(연안복합어업),서귀포시 남원읍
11874,어선,3.30 ,8.81 ,2.75 ,0.84 ,FRP,연안자망어업,어선(연안자망어업),강원 삼척시 원덕읍
11875,어선,5.31 ,10.20 ,2.98 ,0.98 ,FRP,연안복합어업,어선(연안복합어업),제주시
11876,어선,3.37 ,8.94 ,2.45 ,0.84 ,FRP,연안복합어업,어선(연안복합어업),서귀포시 성산읍
11877,어선,7.31 ,11.40 ,3.20 ,1.10 ,FRP,연안복합어업,어선(연안복합어업),제주시 애월읍
11878,어선,7.31 ,11.40 ,3.20 ,1.10 ,FRP,연안복합어업,어선(연안복합어업),제주시 애월읍
11879,어선,6.52 ,11.20 ,2.89 ,0.99 ,FRP,연안복합어업,어선(연안복합어업),제주시 애월읍
11880,어선,1.96 ,8.25 ,2.12 ,0.83 ,FRP,연안자망어업,어선(연안자망어업),경남 통영시
11881,어선,1.92 ,7.60 ,2.14 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),경남 거제시 하청면
11882,어선,1.09 ,6.30 ,1.84 ,0.83 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 산양읍
11883,어선,1.20 ,6.90 ,1.93 ,0.76 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도양읍
