순번,구분,총톤수,길이,너비,깊이,선질,용도,세부용도,선적항
1,어선,4.07 ,9.68 ,2.64 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),제주시 한경면
2,어선,4.07 ,9.68 ,2.64 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),제주시 한경면
3,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
4,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
5,어선,9.77 ,15.00 ,3.68 ,1.11 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
6,어선,2.45 ,8.22 ,2.36 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 사량면
7,어선,2.45 ,8.22 ,2.36 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 사량면
8,어선,1.54 ,6.71 ,2.18 ,0.79 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 약산면
9,어선,11.00 ,14.20 ,4.40 ,1.17 ,FRP,근해유자망어업,어선(근해자망어업),전남 신안군 임자면
10,어선,11.00 ,14.20 ,4.40 ,1.17 ,FRP,근해유자망어업,어선(근해자망어업),전남 신안군 임자면
11,어선,1.98 ,7.52 ,2.53 ,0.85 ,FRP,연안복합어업,어선(연안복합어업),부산시 기장군 기장읍
12,어선,9.77 ,14.40 ,3.50 ,1.20 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
13,어선,9.77 ,14.40 ,3.50 ,1.20 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
14,어선,1.83 ,7.83 ,2.68 ,0.70 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
15,어선,139.00 ,36.60 ,7.15 ,3.23 ,강,근해트롤어업,어선(대형트롤어업),부산시 서구
16,어선,1.31 ,6.57 ,2.03 ,0.75 ,FRP,어장관리선,어선(어장관리선),전남 완도군 약산면
17,어선,7.93 ,12.86 ,3.98 ,0.99 ,FRP,연안통발어업,어선(연안통발어업),인천시 중구
18,어선,1.81 ,7.60 ,2.07 ,0.59 ,FRP,연안통발어업,어선(연안통발어업),경남 남해군 남면
19,어선,4.91 ,10.23 ,2.77 ,0.97 ,FRP,복합양식어업,어선(복합양식어업),경북 울진군 평해읍
20,어선,1.47 ,7.02 ,2.43 ,0.70 ,FRP,패류양식어업,어선(패류양식어업),전남 완도군 보길면
21,어선,4.01 ,8.90 ,3.02 ,0.79 ,FRP,어장관리선,어선(어장관리선),경남 거제시 사등면
22,어선,9.77 ,13.00 ,3.20 ,1.20 ,FRP,기타어업,어선(시험 및 교습선),충청남도 보령시
23,어선,21.00 ,15.80 ,4.10 ,1.65 ,FRP,어선,어선(어선),충청남도 서천군
24,어선,4.59 ,10.07 ,3.58 ,0.69 ,FRP,어장관리선,어선(어장관리선),경남 통영시 산양읍
25,어선,4.59 ,10.07 ,3.58 ,0.69 ,FRP,어장관리선,어선(어장관리선),경남 통영시 산양읍
26,어선,3.21 ,7.95 ,2.40 ,0.89 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 마산합포구
27,어선,3.21 ,7.95 ,2.40 ,0.89 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 마산합포구
28,어선,9.77 ,13.80 ,3.49 ,1.29 ,FRP,연안복합어업,어선(연안복합어업),전남 신안군 암태면
29,어선,2.53 ,7.20 ,2.36 ,0.94 ,FRP,연안자망어업,어선(연안자망어업),충남 당진시 석문면
30,어선,3.05 ,8.24 ,2.48 ,0.87 ,FRP,어장관리선,어선(어장관리선),경기 화성시 우정읍
31,어선,4.59 ,10.29 ,2.78 ,1.00 ,FRP,연안복합어업,어선(연안복합어업),강원 삼척시 근덕면
32,어선,1.87 ,7.54 ,2.27 ,0.67 ,FRP,연안복합어업,어선(연안복합어업),강원 속초시
33,어선,2.31 ,7.42 ,2.53 ,0.68 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 사량면
34,어선,3.85 ,9.18 ,2.59 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),서귀포시 안덕면
35,어선,75.00 ,30.35 ,5.86 ,2.60 ,FRP,근해채낚기어업,어선(근해채낚기어업),인천시 중구
36,어선,1.70 ,7.47 ,2.03 ,0.91 ,FRP,연안자망어업,어선(연안자망어업),부산시 강서구
37,어선,2.28 ,8.78 ,2.18 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),경북 포항시 장기면
38,어선,29.00 ,20.20 ,4.84 ,1.94 ,FRP,근해유자망어업,어선(근해자망어업),전남 여수시
39,어선,4.01 ,9.90 ,2.56 ,0.82 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 구룡포읍
40,어선,4.99 ,10.50 ,2.90 ,1.09 ,FRP,양식어업,어선(양식어업),경남 통영시
41,어선,4.99 ,10.50 ,2.90 ,1.09 ,FRP,양식어업,어선(양식어업),경남 통영시
42,어선,39.00 ,24.89 ,5.28 ,1.90 ,FRP,근해채낚기어업,어선(근해채낚기어업),경북 울진군 죽변면
43,어선,5.31 ,10.20 ,2.98 ,0.98 ,FRP,연안복합어업,어선(연안복합어업),제주시
44,어선,1.13 ,6.30 ,1.78 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),경북 포항시 장기면
45,어선,3.93 ,8.00 ,2.78 ,1.19 ,FRP,연안통발어업,어선(연안통발어업),경남 통영시 사량면
46,어선,2.31 ,8.15 ,2.10 ,0.69 ,FRP,연안복합어업,어선(연안복합어업),경남 거제시 남부면
47,어선,3.78 ,9.48 ,2.44 ,0.90 ,FRP,연안자망어업,어선(연안자망어업),경남 통영시 욕지면
48,어선,4.06 ,9.73 ,2.77 ,0.82 ,FRP,연안통발어업,어선(연안통발어업),경남 사천시
49,어선,1.53 ,7.95 ,2.09 ,0.54 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 미조면
50,어선,9.77 ,13.80 ,4.20 ,0.97 ,FRP,연안자망어업,어선(연안자망어업),전북 군산시 옥도면
51,어선,1.24 ,7.70 ,2.00 ,0.54 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 고현면
52,어선,1.19 ,6.39 ,2.03 ,0.79 ,FRP,어장관리선,어선(어장관리선),전남 해남군 송지면
53,어선,1.48 ,8.00 ,1.98 ,0.53 ,FRP,어장관리선,어선(어장관리선),경북 영덕군 영덕읍
54,어선,3.91 ,8.55 ,2.61 ,0.93 ,FRP,어장관리선,어선(어장관리선),경북 영덕군 영해면
55,어선,4.16 ,9.65 ,2.80 ,0.82 ,FRP,어장관리선,어선(어장관리선),경북 포항시 구룡포읍
56,어선,2.11 ,7.95 ,2.32 ,0.65 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 화양면
57,어선,1.98 ,8.10 ,2.22 ,0.65 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 고현면
58,어선,3.76 ,9.82 ,2.56 ,0.82 ,FRP,연안복합어업,어선(연안복합어업),경북 영덕군 영덕읍
59,어선,1.24 ,6.44 ,1.96 ,0.79 ,FRP,어장관리선,어선(어장관리선),전남 완도군 청산면
60,어선,1.31 ,6.52 ,1.90 ,0.83 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 포두면
61,어선,0.85 ,5.76 ,1.72 ,0.69 ,FRP,연안복합어업,어선(연안복합어업),전남 여수시 화정면
62,어선,9.77 ,15.58 ,3.82 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),전남 고흥군 도양읍
63,어선,0.96 ,5.78 ,1.94 ,0.67 ,FRP,해조류양식어업,어선(해조류양식어업),전남 진도군 의신면
64,어선,89.00 ,31.39 ,6.90 ,2.20 ,FRP,근해안강망어업,어선(근해안강망어업),충청남도 보령시
65,어선,0.63 ,5.30 ,1.78 ,0.60 ,FRP,해조류양식어업,어선(해조류양식어업),전남 목포시
66,어선,4.99 ,11.63 ,3.10 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),부산시 영도구
67,어선,9.77 ,15.30 ,4.10 ,1.12 ,FRP,연안복합어업,어선(연안복합어업),인천시 중구
68,어선,9.77 ,15.30 ,4.26 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
69,어선,9.77 ,15.30 ,4.26 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),경북 울진군 죽변면
70,어선,2.99 ,8.66 ,2.65 ,0.85 ,FRP,어장관리선,어선(어장관리선),경남 창원시 진해구
71,어선,4.99 ,10.55 ,3.40 ,0.89 ,FRP,어장관리선,어선(어장관리선),제주시 한림읍
72,어선,24.00 ,22.75 ,5.90 ,1.24 ,FRP,근해채낚기어업,어선(근해채낚기어업),전남 영광군 법성면
73,어선,7.31 ,12.58 ,3.36 ,0.94 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시
74,어선,7.31 ,12.58 ,3.36 ,0.94 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시
75,어선,1.87 ,7.11 ,2.20 ,0.77 ,FRP,연안자망어업,어선(연안자망어업),경기 화성시 우정읍
76,어선,0.51 ,4.62 ,1.64 ,0.58 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도양읍
77,어선,1.73 ,6.43 ,2.98 ,0.67 ,FRP,어장관리선,어선(어장관리선),전남 완도군 청산면
78,어선,9.16 ,13.50 ,5.15 ,0.78 ,FRP,어장관리선,어선(어장관리선),전남 완도군 금일읍
79,어선,9.16 ,13.50 ,5.15 ,0.78 ,FRP,어장관리선,어선(어장관리선),전남 완도군 금일읍
80,어선,40.00 ,23.57 ,5.15 ,1.73 ,FRP,근해연승어업,어선(근해연승어업),서귀포시
81,어선,4.53 ,11.90 ,3.89 ,0.67 ,FRP,연안통발어업,어선(연안통발어업),전남 신안군 흑산면
82,어선,4.53 ,11.90 ,3.89 ,0.67 ,FRP,연안통발어업,어선(연안통발어업),전남 신안군 흑산면
83,어선,3.62 ,9.87 ,2.74 ,0.70 ,FRP,제1종양식어업,어선(패류양식어업),경남 거제시 둔덕면
84,어선,3.62 ,9.87 ,2.74 ,0.70 ,FRP,제1종양식어업,어선(패류양식어업),경남 거제시 둔덕면
85,어선,20.00 ,19.14 ,5.00 ,0.94 ,FRP,근해유자망어업,어선(근해자망어업),부산시 기장군
86,어선,0.68 ,5.04 ,1.70 ,0.72 ,FRP,연안자망어업,어선(연안자망어업),경남 거제시 장목면
87,어선,4.96 ,11.70 ,3.54 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),부산시 영도구
88,어선,4.96 ,11.70 ,3.54 ,0.79 ,FRP,연안자망어업,어선(연안자망어업),부산시 영도구
89,어선,3.00 ,8.51 ,2.69 ,0.73 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 남면
90,어선,1.17 ,7.00 ,1.90 ,0.74 ,FRP,연안자망어업,어선(연안자망어업),경북 영덕군 영덕읍
91,어선,4.99 ,10.10 ,3.03 ,0.81 ,FRP,연안자망어업,어선(연안자망어업),전남 고흥군 동일면
92,어선,0.81 ,5.42 ,1.97 ,0.64 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 금일읍
93,어선,6.58 ,11.90 ,5.00 ,0.69 ,FRP,어장관리선,어선(어장관리선),전남 완도군 금일읍
94,어선,2.99 ,8.20 ,2.57 ,0.94 ,FRP,연안자망어업,어선(연안자망어업),전남 영광군 홍농읍
95,어선,2.99 ,8.86 ,2.52 ,0.71 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 구룡포읍
96,어선,4.64 ,9.65 ,2.59 ,1.04 ,FRP,어류등양식어업,어선(어류등양식어업),경남 통영시 광도면
97,어선,1.99 ,8.51 ,2.03 ,0.80 ,FRP,연안자망어업,어선(연안자망어업),전북 군산시 옥도면
98,어선,1.43 ,6.42 ,1.97 ,0.89 ,FRP,연안자망어업,어선(연안자망어업),경남 남해군 창선면
99,어선,1.43 ,6.42 ,1.97 ,0.89 ,FRP,연안자망어업,어선(연안자망어업),경남 남해군 창선면
100,어선,0.95 ,5.64 ,1.90 ,0.64 ,FRP,해조류양식어업,어선(해조류양식어업),전남 진도군 고군면
101,어선,3.27 ,8.50 ,2.78 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 산양읍
102,어선,7.31 ,11.79 ,5.00 ,0.79 ,FRP,어장관리선,어선(어장관리선),전남 완도군 금일읍
103,어선,4.98 ,11.95 ,2.68 ,0.89 ,FRP,연안자망어업,어선(연안자망어업),경남 창원시 진해구
104,어선,4.87 ,9.78 ,2.89 ,1.11 ,FRP,연안자망어업,어선(연안자망어업),전북 군산시 옥도면
105,어선,3.19 ,10.17 ,3.03 ,0.72 ,FRP,연안복합어업,어선(연안복합어업),서귀포시
106,어선,9.77 ,15.84 ,4.44 ,0.85 ,FRP,연안선망어업,어선(연안선망어업),경북 포항시
107,어선,9.77 ,15.84 ,4.44 ,0.85 ,FRP,연안선망어업,어선(연안선망어업),경북 포항시
108,어선,1.78 ,7.43 ,2.16 ,0.74 ,FRP,연안자망어업,어선(연안자망어업),강원 삼척시
109,어선,2.93 ,7.69 ,3.30 ,0.88 ,FRP,제1종양식어업,어선(해조류양식어업),충남 서천군 마서면
110,어선,2.99 ,9.25 ,2.74 ,0.69 ,FRP,패류양식어업,어선(패류양식어업),경남 통영시
111,어선,0.75 ,5.72 ,1.79 ,0.60 ,FRP,양식어업,어선(양식어업),전남 해남군 송지면
112,어선,2.99 ,9.25 ,2.74 ,0.69 ,FRP,연안복합어업,어선(연안복합어업),경남 통영시 산양읍
113,어선,2.26 ,8.01 ,2.18 ,0.81 ,FRP,연안자망어업,어선(연안자망어업),경기 화성시 서신면
114,어선,24.00 ,20.75 ,5.43 ,1.27 ,FRP,근해유자망어업,어선(근해자망어업),전남 여수시 돌산읍
115,어선,2.95 ,7.31 ,3.40 ,0.88 ,FRP,해조류양식어업,어선(해조류양식어업),인천시 옹진군 영흥면
116,어선,1.12 ,7.09 ,1.89 ,0.87 ,FRP,어장관리선,어선(어장관리선),전남 완도군 고금면
117,어선,1.12 ,7.09 ,1.89 ,0.87 ,FRP,어장관리선,어선(어장관리선),전남 완도군 고금면
118,어선,1.00 ,6.03 ,1.85 ,0.77 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도덕면
119,어선,5.47 ,11.22 ,3.30 ,0.92 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 진해구
120,어선,3.91 ,8.61 ,2.90 ,0.75 ,FRP,어장관리선,어선(어장관리선),경남 거제시 동부면
121,어선,1.46 ,6.98 ,2.30 ,0.75 ,FRP,정치성구획어업,어선(장망류어업),전남 완도군 약산면
122,어선,1.31 ,7.29 ,1.93 ,0.78 ,FRP,연안자망어업,어선(연안자망어업),전북 군산시 옥도면
123,어선,1.40 ,5.40 ,2.27 ,0.89 ,FRP,어장관리선,어선(어장관리선),전남 완도군 청산면
124,어선,4.13 ,10.00 ,2.78 ,0.91 ,FRP,연안복합어업,어선(연안복합어업),경남 사천시
125,어선,2.99 ,7.84 ,2.68 ,0.95 ,FRP,연안통발어업,어선(연안통발어업),전남 고흥군 봉래면
126,어선,4.99 ,10.90 ,4.46 ,0.73 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
127,어선,1.59 ,7.20 ,2.04 ,0.82 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 마산합포구 구산면
128,어선,4.99 ,11.50 ,3.20 ,0.71 ,FRP,패류양식어업,어선(패류양식어업),경남 통영시 용남면
129,어선,2.51 ,8.27 ,2.34 ,0.73 ,FRP,연안자망어업,어선(연안자망어업),경북 경주시 감포읍
130,어선,1.74 ,8.79 ,2.39 ,0.65 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 청산면
131,어선,1.74 ,8.79 ,2.39 ,0.65 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 청산면
132,어선,13.00 ,20.22 ,4.40 ,1.07 ,FRP,정치망어업,어선(정치망어업),경북 영덕군 강구면
133,어선,2.99 ,8.80 ,2.94 ,0.59 ,FRP,연안자망어업,어선(연안자망어업),경남 통영시 용남면
134,어선,2.51 ,8.27 ,2.34 ,0.73 ,FRP,연안자망어업,어선(연안자망어업),경북 경주시 감포읍
135,어선,1.71 ,7.47 ,2.27 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),울산시 북구
136,어선,7.93 ,13.71 ,4.88 ,0.77 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도화면
137,어선,7.93 ,13.71 ,4.88 ,0.77 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도화면
138,어선,7.93 ,13.71 ,4.88 ,0.77 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도화면
139,어선,7.93 ,13.71 ,4.88 ,0.77 ,FRP,어장관리선,어선(어장관리선),전남 고흥군 도화면
140,어선,9.77 ,16.40 ,4.36 ,0.96 ,FRP,연안자망어업,어선(연안자망어업),전남 신안군 임자면
141,어선,9.77 ,15.00 ,3.80 ,0.75 ,FRP,연안복합어업,어선(연안복합어업),전북 군산시 옥도면
142,어선,4.99 ,10.26 ,3.26 ,0.95 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 창선면
143,어선,1.71 ,7.47 ,2.27 ,0.80 ,FRP,연안복합어업,어선(연안복합어업),울산시 북구
144,어선,1.99 ,7.24 ,2.40 ,0.88 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 안면읍
145,어선,1.82 ,7.71 ,2.39 ,0.81 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
146,어선,7.93 ,13.90 ,0.00 ,0.00 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 안면읍
147,어선,2.28 ,7.34 ,2.25 ,0.86 ,FRP,연안복합어업,어선(연안복합어업),전남 완도군 약산면
148,어선,9.77 ,15.10 ,3.36 ,0.91 ,FRP,연안자망어업,어선(연안자망어업),경남 사천시
149,어선,9.77 ,17.80 ,4.06 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 장기면
150,어선,4.95 ,10.50 ,2.91 ,0.75 ,FRP,어장관리선,어선(어장관리선),충남 서산시 부석면
151,어선,4.95 ,10.50 ,2.91 ,0.75 ,FRP,어장관리선,어선(어장관리선),충남 서산시 부석면
152,어선,2.89 ,8.64 ,2.46 ,0.86 ,FRP,연안통발어업,어선(연안통발어업),전남 여수시
153,어선,4.95 ,10.50 ,2.91 ,0.75 ,FRP,어장관리선,어선(어장관리선),충남 서산시 부석면
154,어선,4.95 ,10.50 ,2.91 ,0.75 ,FRP,어장관리선,어선(어장관리선),충남 서산시 부석면
155,어선,3.00 ,8.85 ,2.60 ,0.66 ,FRP,연안복합어업,어선(연안복합어업),경남 남해군 상주면
156,어선,4.99 ,9.47 ,4.25 ,0.99 ,FRP,어장관리선,어선(어장관리선),경기 화성시 서신면
157,어선,3.21 ,8.94 ,2.67 ,0.67 ,FRP,연안자망어업,어선(연안자망어업),경북 포항시 구룡포읍
158,어선,3.72 ,8.46 ,3.63 ,0.92 ,FRP,해조류양식어업,어선(해조류양식어업),충남 서천군 비인면
159,어선,2.99 ,9.17 ,2.77 ,0.59 ,FRP,연안자망어업,어선(연안자망어업),경북 포항시 구룡포읍
160,어선,0.50 ,4.34 ,1.73 ,0.54 ,FRP,해조류양식어업,어선(해조류양식어업),전남 완도군 약산면
161,어선,18.00 ,17.88 ,5.04 ,1.47 ,FRP,어장관리선,어선(어장관리선),경남 창원시 마산합포구 진동면
162,어선,18.00 ,17.88 ,5.04 ,1.47 ,FRP,어장관리선,어선(어장관리선),경남 창원시 마산합포구 진동면
163,어선,9.77 ,15.25 ,3.60 ,0.84 ,FRP,연안복합어업,어선(연안복합어업),전남 신안군 압해읍
164,어선,8.55 ,15.40 ,3.58 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),제주시 한경면
165,어선,3.28 ,9.35 ,2.55 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),경남 고성군 하이면
166,어선,8.55 ,12.42 ,5.20 ,0.79 ,FRP,패류양식어업,어선(패류양식어업),전남 완도군 금일읍
167,어선,2.60 ,7.24 ,2.40 ,0.88 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 남면
168,어선,9.77 ,16.60 ,4.09 ,1.09 ,FRP,근해형망어업,어선(근해형망어업),인천시 중구
169,어선,9.77 ,16.10 ,3.58 ,0.89 ,FRP,연안복합어업,어선(연안복합어업),충남 홍성군 서부면
170,어선,2.26 ,7.20 ,2.19 ,0.95 ,FRP,연안복합어업,어선(연안복합어업),강원 양양군 강현면
171,어선,1.24 ,6.44 ,2.26 ,0.67 ,FRP,해조류양식어업,어선(해조류양식어업),전남 해남군 송지면
172,어선,2.50 ,8.01 ,2.40 ,0.86 ,FRP,연안통발어업,어선(연안통발어업),전남 보성군 벌교읍
173,어선,8.55 ,15.40 ,3.58 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),강원 고성군 죽왕면
174,어선,1.83 ,6.98 ,2.46 ,0.81 ,FRP,어장관리선,어선(어장관리선),전남 완도군 청산면
175,어선,2.75 ,8.46 ,2.60 ,0.84 ,FRP,어장관리선,어선(어장관리선),경남 창원시 마산합포구
176,어선,35.00 ,23.25 ,5.30 ,1.58 ,FRP,근해연승어업,어선(근해연승어업),서귀포시
177,어선,4.74 ,9.50 ,2.80 ,1.09 ,FRP,마을어업,어선(마을어업),경기 화성시 서신면
178,어선,1.35 ,7.20 ,2.00 ,0.75 ,FRP,어장관리선,어선(어장관리선),전남 여수시
179,어선,3.00 ,8.51 ,2.60 ,0.72 ,FRP,연안복합어업,어선(연안복합어업),충남 보령시 오천면
180,어선,9.77 ,14.95 ,5.15 ,0.86 ,FRP,어장관리선,어선(어장관리선),전남 진도군 의신면
181,어선,1.57 ,7.56 ,2.08 ,0.83 ,FRP,어장관리선,어선(어장관리선),경기 화성시 우정읍
182,어선,3.00 ,8.50 ,2.66 ,0.78 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 마산합포구
183,어선,49.00 ,23.76 ,6.17 ,1.99 ,FRP,근해유자망어업,어선(근해자망어업),제주시 추자면
184,어선,49.00 ,23.76 ,6.17 ,1.99 ,FRP,근해유자망어업,어선(근해자망어업),제주시 추자면
185,어선,2.49 ,7.88 ,2.43 ,0.78 ,FRP,연안자망어업,어선(연안자망어업),전남 영광군 염산면
186,어선,29.00 ,21.70 ,5.15 ,1.73 ,FRP,근해연승어업,어선(근해연승어업),서귀포시
187,어선,2.99 ,9.59 ,2.68 ,0.84 ,FRP,연안통발어업,어선(연안통발어업),부산시 영도구
188,어선,2.99 ,9.59 ,2.68 ,0.84 ,FRP,연안통발어업,어선(연안통발어업),부산시 영도구
189,어선,2.99 ,8.50 ,2.57 ,0.94 ,FRP,연안자망어업,어선(연안자망어업),전북 부안군
190,어선,6.67 ,10.53 ,3.18 ,1.29 ,FRP,연안자망어업,어선(연안자망어업),충남 보령시 오천면
191,어선,4.99 ,11.63 ,3.10 ,0.69 ,FRP,연안자망어업,어선(연안자망어업),부산시 영도구
192,어선,9.77 ,14.92 ,4.00 ,1.04 ,FRP,어획물운반선,어선(어획물운반선),경북 영덕군 강구면
193,어선,9.77 ,14.92 ,4.00 ,1.04 ,FRP,어획물운반선,어선(어획물운반선),경북 영덕군 강구면
194,어선,56.00 ,31.20 ,5.60 ,2.45 ,강,기선선인망어업,어선(기선권현망어업),경남 창원시 마산합포구 구산면
195,어선,1.98 ,7.90 ,2.04 ,0.91 ,FRP,연안복합어업,어선(연안복합어업),부산시 영도구
196,어선,4.76 ,10.48 ,4.00 ,0.72 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
197,어선,4.76 ,10.48 ,4.00 ,0.72 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
198,어선,4.76 ,10.08 ,4.09 ,0.69 ,FRP,어장관리선,어선(어장관리선),전남 여수시 돌산읍
199,어선,2.60 ,8.20 ,2.28 ,0.75 ,FRP,연안복합어업,어선(연안복합어업),경남 창원시 진해구
200,어선,3.77 ,8.87 ,2.94 ,0.72 ,FRP,연안통발어업,어선(연안통발어업),경남 통영시 욕지면
201,어선,2.99 ,8.10 ,2.60 ,0.79 ,FRP,연안복합어업,어선(연안복합어업),경남 사천시
202,어선,4.34 ,10.03 ,2.80 ,0.89 ,FRP,잠수기어업,어선(잠수기어업),경남 사천시
203,어선,1.98 ,7.70 ,2.10 ,1.02 ,FRP,연안복합어업,어선(연안복합어업),부산시 강서구
204,어선,1.98 ,7.52 ,2.53 ,0.85 ,FRP,연안통발어업,어선(연안통발어업),부산시 기장군
205,어선,4.99 ,10.90 ,4.46 ,0.73 ,FRP,어장관리선,어선(어장관리선),전남 완도군 완도읍
206,어선,4.32 ,9.90 ,2.74 ,0.69 ,FRP,양식어업,어선(양식어업),경남 통영시 한산면
207,어선,1.92 ,7.81 ,2.33 ,0.85 ,FRP,연안복합어업,어선(연안복합어업),울산시 울주군
208,어선,2.57 ,7.95 ,2.27 ,0.62 ,FRP,연안자망어업,어선(연안자망어업),울산시 울주군
209,어선,9.77 ,14.94 ,4.04 ,0.94 ,FRP,연안복합어업,어선(연안복합어업),충남 서천군 서면
210,어선,9.77 ,14.94 ,4.04 ,0.94 ,FRP,연안복합어업,어선(연안복합어업),충남 서천군 서면
211,어선,1.82 ,7.64 ,2.92 ,0.71 ,FRP,연안복합어업,어선(연안복합어업),충남 태안군 소원면
212,어선,4.28 ,9.34 ,2.80 ,0.88 ,FRP,잠수기어업,어선(잠수기어업),경남 사천시
213,어선,2.39 ,7.56 ,2.55 ,0.85 ,FRP,연안복합어업,어선(연안복합어업),부산시 강서구
214,어선,2.54 ,8.25 ,2.46 ,0.71 ,FRP,패류양식어업,어선(패류양식어업),경남 통영시 용남면
215,어선,9.77 ,14.40 ,3.79 ,1.19 ,FRP,연안자망어업,어선(연안자망어업),전남 목포시
216,어선,5.56 ,10.58 ,3.02 ,0.91 ,FRP,연안자망어업,어선(연안자망어업),충남 태안군 근흥면
217,어선,17.00 ,17.15 ,4.38 ,1.19 ,FRP,어장관리선,어선(어장관리선),전남 여수시
218,어선,1.81 ,7.60 ,2.07 ,0.59 ,FRP,연안통발어업,어선(연안통발어업),경남 남해군 남면
219,어선,1.62 ,6.76 ,2.17 ,0.68 ,FRP,연안자망어업,어선(연안자망어업),경남 고성군 동해면
220,어선,2.47 ,8.15 ,2.30 ,0.83 ,FRP,마을어업,어선(마을어업),전북 군산시 옥도면
221,어선,1.93 ,7.14 ,2.05 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 구룡포읍
222,어선,1.93 ,7.14 ,2.05 ,0.74 ,FRP,연안복합어업,어선(연안복합어업),경북 포항시 구룡포읍
223,어선,139.00 ,34.98 ,6.80 ,3.15 ,강,대형기선저인망어업,어선(쌍끌이대형저인망어업),부산시 서구
224,어선,6.11 ,10.90 ,3.06 ,1.00 ,FRP,연안자망어업,어선(연안자망어업),강원 속초시
225,어선,5.85 ,10.48 ,2.98 ,0.98 ,FRP,연안복합어업,어선(연안복합어업),제주시 한림읍
226,어선,4.18 ,8.51 ,2.69 ,1.02 ,FRP,연안자망어업,어선(연안자망어업),전남 해남군 화원면
227,어선,9.77 ,14.70 ,3.94 ,1.13 ,FRP,연안자망어업,어선(연안자망어업),강원 동해시
228,어선,0.89 ,5.45 ,1.80 ,0.82 ,FRP,연안자망어업,어선(연안자망어업),부산시 강서구
229,어선,1.00 ,6.12 ,1.78 ,0.55 ,FRP,연안복합어업,어선(연안복합어업),전남 신안군 안좌면
230,어선,6.30 ,11.75 ,3.10 ,0.88 ,FRP,연안복합어업,어선(연안복합어업),제주시 추자면
231,어선,4.98 ,10.70 ,3.24 ,0.89 ,FRP,잠수기어업,어선(잠수기어업),경남 사천시
